,"Underdispersion ratio (cases, daily, mean over weeks)","Underdispersion ratio (deaths, daily, mean over weeks)","Underdispersion ratio (cases, weekly, mean over 7-week blocks)","Underdispersion ratio (deaths, weekly, mean over 7-week blocks)",Underdispersion ratio (max)
Pitcairn Islands,1.00,1.00,1.00,1.00,1.00
Poland,0.26,0.06,0.04,0.00,0.26
Portugal,1.24,0.02,0.13,0.00,1.24
Puerto Rico,0.66,0.04,0.11,0.00,0.66
Qatar,1.00,1.29,0.46,0.02,1.29
Republic of Korea,1.05,0.17,0.32,0.01,1.05
Republic of Moldova,1.73,0.06,0.13,0.00,1.73
Romania,0.43,0.05,0.03,0.00,0.43
Russian Federation,3.34,0.16,0.06,0.00,3.34
Rwanda,0.86,0.17,0.45,0.01,0.86
Réunion,0.50,0.14,0.65,0.03,0.65
Saba,1.00,0.91,1.00,0.63,1.00
Saint Barthélemy,0.99,0.39,0.84,0.26,0.99
Saint Helena,1.00,1.00,1.00,1.00,1.00
Saint Kitts and Nevis,0.95,0.67,0.84,0.27,0.95
Saint Lucia,0.74,0.39,0.61,0.19,0.74
Saint Martin,0.88,0.22,0.67,0.14,0.88
Saint Pierre and Miquelon,1.00,0.86,1.00,0.38,1.00
Saint Vincent and the Grenadines,0.89,0.39,0.81,0.13,0.89
Samoa,1.00,0.98,1.00,0.86,1.00
San Marino,0.89,0.30,0.79,0.10,0.89
Sao Tome and Principe,0.90,0.46,0.53,0.12,0.90
Saudi Arabia,5.46,0.51,0.38,0.01,5.46
Senegal,1.01,0.21,0.51,0.01,1.01
Serbia,5.94,0.12,0.04,0.00,5.94
Seychelles,0.80,0.29,0.69,0.10,0.80
Sierra Leone,0.89,0.40,0.71,0.08,0.89
Singapore,0.96,0.41,0.62,0.03,0.96
Sint Eustatius,1.00,0.88,0.95,0.53,1.00
Sint Maarten,0.90,0.27,0.63,0.21,0.90
Slovakia,0.62,0.08,0.17,0.00,0.62
Slovenia,1.01,0.15,0.34,0.00,1.01
Solomon Islands,1.00,0.92,0.92,0.77,1.00
Somalia,0.56,0.11,0.22,0.01,0.56
South Africa,0.13,0.02,0.01,0.00,0.13
South Sudan,0.80,0.22,0.57,0.04,0.80
Spain,0.96,0.00,0.01,0.00,0.96
Sri Lanka,0.97,0.31,0.27,0.01,0.97
Sudan,0.42,0.12,0.06,0.01,0.42
Suriname,1.00,0.32,0.39,0.03,1.00
Sweden,1.45,0.01,0.14,0.00,1.45
Switzerland,1.38,0.03,0.11,0.00,1.38
Syrian Arab Republic,5.00,1.68,0.32,0.04,5.00
Tajikistan,0.90,4.14,1.33,0.67,4.14
Thailand,0.78,0.28,0.23,0.08,0.78
The United Kingdom,0.11,0.01,0.02,0.00,0.11
Timor-Leste,0.96,0.57,0.83,0.33,0.96
Togo,0.74,0.16,0.88,0.05,0.88
Tokelau,1.00,1.00,1.00,1.00,1.00
Tonga,1.00,1.00,1.00,0.95,1.00
Trinidad and Tobago,0.95,0.23,0.53,0.05,0.95
Tunisia,0.57,0.10,0.10,0.00,0.57
Turkey,3.50,0.37,0.04,0.00,3.50
Turkmenistan,1.00,1.00,1.00,1.00,1.00
Turks and Caicos Islands,0.91,0.40,0.59,0.16,0.91
Tuvalu,1.00,1.00,1.00,1.00,1.00
Uganda,0.76,0.21,0.32,0.02,0.76
Ukraine,0.35,0.03,0.05,0.00,0.35
United Arab Emirates,1.85,0.89,0.57,0.00,1.85
United Republic of Tanzania,0.86,0.74,0.64,0.60,0.86
United States Virgin Islands,0.86,0.23,0.66,0.07,0.86
United States of America,0.04,0.00,0.00,0.00,0.04
Uruguay,0.96,0.29,0.52,0.02,0.96
Uzbekistan,3.49,0.49,0.56,0.00,3.49
Vanuatu,1.00,0.98,1.00,0.77,1.00
Venezuela (Bolivarian Republic of),5.35,0.10,0.41,0.01,5.35
Viet Nam,0.85,0.27,0.55,0.04,0.85
Wallis and Futuna,0.99,0.94,0.90,0.75,0.99
Yemen,0.81,0.60,0.21,0.17,0.81
Zambia,0.72,0.12,0.22,0.01,0.72
Zimbabwe,0.57,0.15,0.16,0.03,0.57
"occupied Palestinian territory, including east Jerusalem",1.04,0.08,0.17,0.00,1.04
